state,commodity_group,commodity,source_date,price_date,price,is_predicted,model_used,confidence_score,predicted_date,predicted_price
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-30,2026-01-28,2038.88,False,,,,
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-30,2026-01-27,1986.92,False,,,,
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-30,2026-01-26,1985.26,False,,,,
Rajasthan,Cereals,Barley(Jau),2026-01-30,2026-01-28,2300.0,False,,,,
Rajasthan,Cereals,Barley(Jau),2026-01-30,2026-01-27,2262.73,False,,,,
Rajasthan,Cereals,Jowar(Sorghum),2026-01-30,2026-01-28,2116.05,False,,,,
Rajasthan,Cereals,Jowar(Sorghum),2026-01-30,2026-01-27,2199.5,False,,,,
Rajasthan,Cereals,Jowar(Sorghum),2026-01-30,2026-01-26,2700.0,False,,,,
Rajasthan,Cereals,Maize,2026-01-30,2026-01-28,1565.17,False,,,,
Rajasthan,Cereals,Maize,2026-01-30,2026-01-27,1619.39,False,,,,
Rajasthan,Cereals,Maize,2026-01-30,2026-01-26,1750.0,False,,,,
Rajasthan,Cereals,Paddy(Common),2026-01-30,2026-01-28,3349.98,False,,,,
Rajasthan,Cereals,Paddy(Common),2026-01-30,2026-01-27,3349.92,False,,,,
Rajasthan,Cereals,Wheat,2026-01-30,2026-01-28,2554.84,False,,,,
Rajasthan,Cereals,Wheat,2026-01-30,2026-01-27,2616.77,False,,,,
Rajasthan,Cereals,Wheat,2026-01-30,2026-01-26,2460.0,False,,,,
Rajasthan,Fibre Crops,Cotton,2026-01-30,2026-01-28,7745.18,False,,,,
Rajasthan,Fibre Crops,Cotton,2026-01-30,2026-01-27,7659.16,False,,,,
Rajasthan,Fibre Crops,Cotton,2026-01-30,2026-01-26,7740.0,False,,,,
Rajasthan,Oil Seeds,Groundnut,2026-01-30,2026-01-28,6018.36,False,,,,
Rajasthan,Oil Seeds,Groundnut,2026-01-30,2026-01-27,6445.65,False,,,,
Rajasthan,Oil Seeds,Mustard,2026-01-30,2026-01-28,6532.71,False,,,,
Rajasthan,Oil Seeds,Mustard,2026-01-30,2026-01-27,6367.21,False,,,,
Rajasthan,Oil Seeds,Mustard,2026-01-30,2026-01-26,5300.0,False,,,,
Rajasthan,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-30,2026-01-28,14140.48,False,,,,
Rajasthan,Oil Seeds,Soyabean,2026-01-30,2026-01-28,5280.11,False,,,,
Rajasthan,Oil Seeds,Soyabean,2026-01-30,2026-01-27,4947.47,False,,,,
Rajasthan,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-30,2026-01-28,6800.0,False,,,,
Rajasthan,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-30,2026-01-27,6210.0,False,,,,
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,2026-01-28,5245.74,False,,,,
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,2026-01-27,4946.48,False,,,,
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,2026-01-26,5150.0,False,,,,
Rajasthan,Pulses,Black Gram(Urd Beans)(Whole),2026-01-30,2026-01-28,6863.36,False,,,,
Rajasthan,Pulses,Black Gram(Urd Beans)(Whole),2026-01-30,2026-01-27,6226.27,False,,,,
Rajasthan,Pulses,Green Gram(Moong)(Whole),2026-01-30,2026-01-28,6952.98,False,,,,
Rajasthan,Pulses,Green Gram(Moong)(Whole),2026-01-30,2026-01-27,6662.08,False,,,,
Rajasthan,Pulses,Green Gram(Moong)(Whole),2026-01-30,2026-01-26,6729.82,False,,,,
Rajasthan,Pulses,Lentil(Masur)(Whole),2026-01-30,2026-01-28,5953.92,False,,,,
Rajasthan,Vegetables,Onion,2026-01-30,2026-01-28,1345.3,False,,,,
Rajasthan,Vegetables,Onion,2026-01-30,2026-01-27,1365.82,False,,,,
Rajasthan,Vegetables,Onion,2026-01-30,2026-01-26,1239.14,False,,,,
Rajasthan,Vegetables,Potato,2026-01-30,2026-01-28,581.43,False,,,,
Rajasthan,Vegetables,Potato,2026-01-30,2026-01-27,515.15,False,,,,
Rajasthan,Vegetables,Potato,2026-01-30,2026-01-26,647.37,False,,,,
Rajasthan,Vegetables,Tomato,2026-01-30,2026-01-28,1404.47,False,,,,
